komentar;label;clean;;;;;;;
Kesel gue pas kepala babi; malah bahas perang dunia ke 3; blunder;0;kesel gue pas kepala babi malah bahas perang dunia blunder;;;;;
Busett cerahh banget 🚩𝐒𝐆𝐈𝟖𝟖🚩 encess sama koinya lagi ngasih mulu;1;busett cerahh banget triangular flag on post sgi88 triangular flag on post encess sama koinya ngasih mulu;;;;;;;
bro alexis17 ; ngadain giveaway nih ; hadiahnya motor sport terbaru;1;bro alexis17 ngadain giveaway nih hadiah motor sport baru;;;;;
menang ! 𝑺𝑼𝑯𝑼𝟑𝟐𝟖 bikin hidup !;1;menang suhu328 bikin hidup;;;;;;;
Pesona ya laksana. Beli jb5 cuma nuruti mania yg koar2 di sosmed;0;pesona laksana beli jb5 cuma nuruti mania yg koar2 sosmed;;;;;;;
Baru jepe 2 kali; wede lancar banget;1;baru jepe kali wede lancar banget;;;;;;
makswin brusan gates ; gg banget;1;makswin brusan gates gg banget;;;;;;
Seru abis! Rasanya gak lengkap sehari tanpa 🔥⚡ALEXIS17⚡?🔥;1;seru abis rasa gak lengkap hari fire zap alexis17 zap fire;;;;;;;
𝘈𝐻𝘔𝐀𝐷𝘛𝘖𝑇𝑂 bikin lupa masalah; hiburan yang hakiki!;1;ahmadtoto bikin lupa masalah hibur hakiki;;;;;;
emang gak se-terpercaya alexis17 sih .;1;emang gak se percaya alexis17 sih;;;;;;;
gak pakai proses nya langsung wd;1;gak pakai proses nya langsung wd;;;;;;;
sungguh ! 𝘿 о r 𝘈 𝟩 7 ketagihan berat ; sulit berhenti !;1;sungguh dora77 tagih berat sulit henti;;;;;;
Semangat garasi drift semoga cepat 3 jt;0;semangat garasi drift moga cepat jt;;;;;;;
Kebanyakan kata LUMAYAN;0;banyak kata lumayan;;;;;;;
aceh donggg;0;aceh donggg;;;;;;;
Buset 24 menit udah kalah aja mas Panji 🤣;0;buset menit udah kalah aja mas panji rofl;;;;;;;
Astagfirullahaladzim 😢😢;0;astagfirullahaladzim cry cry;;;;;;;
Bangun tidur ku terus ngeslt; emang paten kali  mandalika77 nih belum apa2 udah maxwin dia; kirain cuma dalam mimpi doang bisa dapat maxwin.;1;bangun tidur ku terus ngeslt emang paten kali mandalika77 nih apa2 udah maxwin kirain cuma mimpi doang maxwin;;;;;
VELG NYA CAKEPPPPP🤤;0;velg nya cakeppppp drooling face;;;;;;;
Truck ev blm ada ya;0;truck ev blm;;;;;;;
dikasi jp pas modal haha makasi𝐏 𝐋 𝐔 𝐓 𝐎 𝟖 𝟖;1;kasi jp pas modal haha makasip luto88;;;;;;;
Baru tau;tapi Barusan gue ikutan dislike 😂;0;baru tau barusan gue ikut dislike joy;;;;;;
cobain langsung ketagihan puas;1;cobain langsung tagih puas;;;;;;;
kebanggaan gua nih kalau di tongkrongan! ⭐ A L E X I S 1 7 ⭐Top markotop;1;bangga gua nih kalau tongkrong star alexis17 star top markotop;;;;;;;
Ga tau mau komen apa; yg jelas ga ada bobot nya;0;ga tau mau komen apa yg jelas ga bobot nya;;;;;;
kocak banget lu Nji; wkwkwkwkwk;0;kocak banget lu nji wkwkwkwkwk;;;;;;
Fix gak nyesel! Bangga banget jadi bagian dari 🔥⚡ALEXIS17⚡?🔥;1;fix gak nyesel bangga banget jadi bagi fire zap alexis17 zap fire;;;;;;;
sis ; ngeh kalo 𝘼𝙇𝙀𝙓𝙄𝙎17 sekeren . gila .;1;sis ngeh kalo alexis17 keren gila;;;;;;
Nonton SILA dulu; baru saya kesini 😅;0;nonton sila dulu baru kesini sweat smile;;;;;;
buset tv segede gitu ; main pes gawang gawang keliatan kalih;1;buset tv gede gitu main pes gawang gawang liat kalih;;;;;;
Bang ;coba riview HP Blackview;0;bang coba riview hp blackview;;;;;;
Mas Amba kyny lebih tau realita di lapangan;0;mas amba kyny lebih tau realita lapang;;;;;;;
Salfok di booth airbft 🤣;0;salfok booth airbft rofl;;;;;;;
Ada namanya parts namanya flexibel gampang rusak;0;nama parts nama flexibel gampang rusak;;;;;;;
Semua orang bilang ALEXIS⭐17⭐ tuh blessing banget!;1;semua orang bilang alexis star star tuh blessing banget;;;;;;;
Udah cukup 😂;0;udah cukup joy;;;;;;;
Iya lagi!! Lucu banget 😂😂😂😂;0;iya lucu banget joy joy joy joy;;;;;;;
Ishowspeed pernah review juga;0;ishowspeed pernah review;;;;;;;
Nganggur pres wapres;0;nganggur pres wapres;;;;;;;
Belum beli aja; uda seneng banget..;;;;;;;;
keren . gas mari kak weton88;1;keren gas kak weton88;;;;;;;
Namanya aja the elite; emg elite. Gaada yg norak kek pasar malem;0;nama aja the elite emg elite gaada yg norak kek pasar malem;;;;;;
main alexis17 suaranya;1;main alexis17 suara;;;;;;;
Berkah rezeki hari ini berkat 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓;puji syukur!;1;berkah rezeki hari berkat probet855 puji syukur;;;;;;
nice link bagus mandalika77;1;nice link bagus mandalika77;;;;;;;
min video lu baguss ; pilih 𝐒𝐆𝐈𝟖𝟖;1;min video lu baguss pilih sgi88;;;;;;
capek bgt nemuin alexis17 trs;1;capek bgt nemuin alexis17 trs;;;;;;;
tirta cipeng ahok gas;0;tirta cipeng ahok gas;;;;;;;
Ampe merinding cuyy;0;ampe merinding cuyy;;;;;;;
​ manusia__biasa 😂😂😂😂 emang yang lain nggak;0;manusia biasa joy joy joy joy emang;;;;;;;
Setuju bngt..;0;tuju bngt;;;;;;;
emang ya alexis17 gampang menang;1;emang alexis17 gampang menang;;;;;;;
JOKOWI mulu disebut;0;jokowi mulu sebut;;;;;;;
bobroknya bawahan sama pemimpin dikupas tuntas;0;bobrok bawah sama pimpin kupas tuntas;;;;;;;
gue rela gak tidur ngikutin update terbaru alexis17 .;1;gue rela gak tidur ngikutin update baru alexis17;;;;;;;
★Mandalika77★ mekswin; depoin LIMPUL;1;mandalika77 mekswin depoin limpul;;;;;;
Who hurt you sweetie ❤;0;who hurt you sweetie heart;;;;;;;
cuy ; serius nanya ; 𝘼𝙇𝙀𝙓𝙄𝙎17 beneran sebagus ?;1;cuy serius nanya alexis17 beneran bagus;;;;;
Kalo mazda paling suka cx 60;0;kalo mazda paling suka cx;;;;;;;
Kecuali dari Mazda;0;mazda;;;;;;;
alexis17 superrrrrr bosku gac0r melayang;1;alexis17 superrrrrr bos gac r layang;;;;;;;
Journeynya belum ada video baru mas Ridwan?;0;journeynya video baru mas ridwan;;;;;;;
jepey gmpng banget 𝐒𝐆𝐈𝟖𝟖;1;jepey gmpng banget sgi88;;;;;;;
Wkwk sama bg​ @linggarprasetyo9804 ;0;wkwk sama bg linggarprasetyo98 4;;;;;;;
cuy ; 𝘼𝙇𝙀𝙓𝙄𝙎17 ; lo coba !;1;cuy alexis17 lo coba;;;;;
Nggambleh Thok .isone mung omong apik2 wae. Payahhhhh;0;nggambleh thok isone mung omong apik2 wae payahhhhh;;;;;;;
rezeki alexis17 ; makasih keberuntungannya !;1;rezeki alexis17 makasih untung;;;;;;
Up trending;0;up trending;;;;;;;
ngga ribet ; gampang banget dapet tambahan;1;ngga ribet gampang banget dapet tambah;;;;;;
Pt apa ini bang?;0;pt apa bang;;;;;;;
main bareng temen p͓̽u͓̽l͓̽a͓̽u͓̽w͓̽i͓̽n͓̽ emang seru .;1;main bareng temen pulauwin emang seru;;;;;;;
Yang penting Jadi Presiden 🎉;0;penting jadi presiden tada;;;;;;;
Mantap bang; saya jadi lebih paham ☝🏻;0;mantap bang jadi lebih paham point up;;;;;;
emang gak se-asik alexis17 sih .;1;emang gak se asik alexis17 sih;;;;;;;
𝐒𝐆𝐈𝟖𝟖 bikin ketagihan !;1;sgi88 bikin tagih;;;;;;;
Fix gak nyesel! Setia banget sama ⚡ALEXIS17⚡ sejak awal!;1;fix gak nyesel setia banget sama zap alexis17 zap sejak awal;;;;;;;
tunggu tunggu salam jepe 𝐒𝐆𝐈𝟖𝟖;1;tunggu tunggu salam jepe sgi88;;;;;;;
Gilaaaaaaaaaaa;0;gilaaaaaaaaaaa;;;;;;;
mandalika77 makasi lah uda ngasih; keren pokoknya mandalika77 pasti sesuai pnya isi nya;1;mandalika77 makas lah uda ngasih keren pokok mandalika77 sesuai pnya isi nya;;;;;;
Sependapat!;0;dapat;;;;;;;
Worst president ever?;0;worst president ever;;;;;;;
YouTube premium;0;youtube premium;;;;;;;
Ini pemimpin yg sesungguhnya; sehat2 pak ahok;0;pimpin yg sungguh sehat2 pak ahok;;;;;;
makasih а𝙀я𝙊𝟾8 ; rezeki bikin hati senang banget !;1;makasih aeyao88 rezeki bikin hati senang banget;;;;;;
bng coba game zeus x 1000 𝐒𝐆𝐈𝟖𝟖 gampang bet pecah;1;bng coba game zeus x sgi88 gampang bet pecah;;;;;;;
jujur ; cakep bener livery nya ; berasa tamiya rame cakep;0;jujur cakep bener livery nya asa tamiya rame cakep;;;;;
Kirin nya gila; anti panas..... Cuma anget anget doang ..;0;kirin nya gila anti panas cuma anget anget doang;;;;;;
epic moment 𝐒𝐆𝐈𝟖𝟖;1;epic moment sgi88;;;;;;;
gue udah coba main jam-jam ; alexis17 ; emang gacor jam 1 pagi;1;gue udah coba main jam jam alexis17 emang gacor jam pagi;;;;;
bro sibuk sih ? alexis17 ; bagi-bagi bonus deposit super gede nih;1;bro sibuk sih alexis17 bonus deposit super gede nih;;;;;;
Samaa wkwk;0;samaa wkwk;;;;;;;
yg tunggu2 𝗪𝗘𝗧𝗢𝗡𝟴𝟴;1;yg tunggu2 weton88;;;;;;;
Asli GD terbaik... Sukses Terus GD 🔥🔥🔥;0;asli gd baik sukses terus gd fire fire fire;;;;;;;
😅 yg terpenting kaya;0;sweat smile yg penting kaya;;;;;;;
suka banget main 𝘋𝙀𝙒𝘈𝘿𝙊𝘙𝐀 ; gak nyangka dapet jakpot langsung !;1;suka banget main dewadora gak nyangka dapet jakpot langsung;;;;;;
gue udah ga bayangin hidup alexis17 ! ; udah mata pencaharian;1;gue udah ga bayangin hidup alexis17 udah mata cahari;;;;;;
Senang banget dapat rezeki tak terduga dari MANDALIKA𝟳7!;1;senang banget rezeki tak duga mandalika77;;;;;;;
bg; sesekali cobain drift 180sx gp sports;0;bg sekal cobain drift 18 sx gp sports;;;;;;
cuma bisa menonton 😌;0;cuma tonton relieved;;;;;;;
Plango plongo doang yg ada bikin geregetan pengen sikut biji matanya😂;0;plango plongo doang yg bikin gereget ken sikut biji mata joy;;;;;;;
Negara kaya harus kuat dalam membrantas korupsi;0;negara kaya kuat membrantas korupsi;;;;;;;
Harga Jaecoo J7 mirip sama Zenix;0;harga jaecoo j7 mirip sama zenix;;;;;;;
Ngakak gua ngab ​ @OvanFebrian-f1f ;0;ngakak gua ngab ovanfebrian f1f;;;;;;;
Aduuuh perih liatnya.. mobil br jd udh ngantam tembok😢;0;aduuuh perih liat mobil br jd udh ngantam tembok cry;;;;;;;
 @maizarindra498  kata buzzer brain rot guys tepuk tangan in dulu dong 👏🏾;0;maizarindra498 kata buzzer brain rot guys tepuk tangan in dulu dong clap;;;;;;;
Kece banget cross track nya;0;kece banget cross track nya;;;;;;;
detailnya itu loo;0;detail loo;;;;;;;
"Only one word that i wanna say : ""yakan"" 😌";0;only one word that i wanna say yakan relieved;;;;;;;
alexis17 ; tuh emang ngerti kebutuhan membernya ; kasih surprise bonus;1;alexis17 tuh emang ngerti butuh membernya kasih surprise bonus;;;;;
Kemahalan belum pernah main di piala dunia;0;mahal pernah main piala dunia;;;;;;;
ges doain ya gw coba stop maengaruda-ho ki kecanduan bgt gacor nya gw;1;ges doain gw coba stop maengaruda ho ki candu bgt gacor nya gw;;;;;;;
9.40 gasss sih bikin motor ala jejepangan wkwk;0;gasss sih bikin motor ala jejepangan wkwk;;;;;;;
kenapa dislikenya disembunyikan?😂;0;dislikenya sembunyi joy;;;;;;;
Lah emang dari awal dia memang ga nyambung;0;lah emang awal memang ga nyambung;;;;;;;
kmren milih siapa?;0;kmren milih siapa;;;;;;;
yang trusted 0:06 emang ─═𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵═─;1;trusted emang berkah99;;;;;;;
2:08 pasti jairo;0;jairo;;;;;;;
parah ; 𝘼𝙇𝙀𝙓𝙄𝙎17 keren banget ! .;1;parah alexis17 keren banget;;;;;;
Anjir menit 18 harus udah selesai tuh;0;anjir menit udah selesai tuh;;;;;;;
𝘋𝐄𝘞𝐀𝐃O𝐑𝘈 emang beneran gachor;1;dewadora emang beneran gachor;;;;;;;
gak nyangka iseng doang ; eh ketagihan ｐｕｌａｕｗｉｎ .;1;gak nyangka iseng doang eh tagih pulauwin;;;;;;
@HendraYadi-v5h semua partai sama aja . semua diisi kepentingan pribadi;0;hendrayadi v5h semua partai sama aja semua isi penting pribadi;;;;;;;
Nooo kapal api nya mana 😢;0;nooo kapal api nya mana cry;;;;;;;
Rezeki melimpah datang dari 𝐀G𝘜𝘚TO𝘛𝘖; makasih banyak!;1;rezeki limpah datang agustoto makasih banyak;;;;;;
50 juta doang bang... Pesan 10 unit ya 😂;0;juta doang bang pesan unit joy;;;;;;;
Dari dulu ni orang ngomong mana ada point; 11 12 sama bapak e;0;dulu ni orang ngomong mana point sama bapak e;;;;;;
Wede 2 kali hari ini; sketer terus;1;wede kali hari sketer terus;;;;;;
Abis ini diamukin Irene lo bang 🤣;0;abis diamukin irene lo bang rofl;;;;;;;
emang gak se-terpercaya alexis17 sih .;1;emang gak se percaya alexis17 sih;;;;;;;
Uang rakyat gk nih? 😂;0;uang rakyat gk nih joy;;;;;;;
cakep kali 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ; bravo ..;1;cakep kali weton88 bravo;;;;;;
MBG kak bukan MGB;0;mbg kak bukan mgb;;;;;;;
​ @AhmadLuthfiProfile pake iphone pasti LGBT;0;ahmadluthfiprofile pake iphone lgbt;;;;;;;
Tempo???? Wkwkwkwkkwkw;0;tempo wkwkwkwkkwkw;;;;;;;
konten ! keren banget menjelaskannya ! main bagus bang 𝗪𝗘𝗧𝗢𝗡𝟴𝟴;1;konten keren banget jelas main bagus bang weton88;;;;;;;
Saya yakin ᗩᗷGᗯIᑎ gak akan mengecewakan;1;yakin bokuggooiti gak kecewa;;;;;;;
coba 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ; gak ribet ! salam petir x 500;1;coba weton88 gak ribet salam petir x;;;;;;
Ada mobil akang mv gt86;0;mobil akang mv gt86;;;;;;;
❤❤❤ prabowo gibran no;0;heart heart heart prabowo gibran no;;;;;;;
Rezeki nomplok hari ini berkat D𝑂𝑅𝐴𝟩𝟽; alhamdulillah!;1;rezeki nomplok hari berkat dora77 alhamdulillah;;;;;;
gak gelar sarjana menang alexis17 .;1;gak gelar sarjana menang alexis17;;;;;;;
Asc monster juga ada tim roadbike nya 👍;0;asc monster tim roadbike nya thumbsup;;;;;;;
nggak diragukan ; slot gacor . 𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴;1;ragu slot gacor pluto88;;;;;;
gue sih udah ga heran kalo alexis17 ; trending tiktok;1;gue sih udah ga heran kalo alexis17 trending tiktok;;;;;;
pagi-pagi udah dapet notif wd alexis17 ; ; mood langsung sebulan;1;pagi pagi udah dapet notif wd alexis17 mood langsung bulan;;;;;
Bagi link spion nya bng;0;link spion nya bng;;;;;;;
Kamu pinjam ya bang;0;kamu pinjam bang;;;;;;;
menghindar pertanyaannya kyk ngehindar debt collector aja 😂;0;hindar tanya kyk ngehindar debt collector aja joy;;;;;;;
gue sih udah buktiin kalo alexis17 tuh scam .;1;gue sih udah buktiin kalo alexis17 tuh scam;;;;;;;
Agak kaget;0;kaget;;;;;;;
eh bro ; 𝘼𝙇𝙀𝙓𝙄𝙎17 event spesial nih ; hadiahnya rumah mewah;1;eh bro alexis17 event spesial nih hadiah rumah mewah;;;;;
Belj miniatur spek bongkar pasang acc aje bre ngak ngaruh.😁;0;belj miniatur spek bongkar pasang acc aje bre ngak ngaruh grin;;;;;;;
Kalian sadar gak sih kalo Jokowi gak pernah di podcast manapun;0;kalian sadar gak sih kalo jokowi gak pernah podcast mana;;;;;;;
modal alexis17 bermanfaat .;1;modal alexis17 manfaat;;;;;;;
 @mhhaekal  dia mah emang caper aja itu akun punya dia sendiri coy;0;mhhaekal mah emang caper aja akun punya sendiri coy;;;;;;;
Ini Exclusive ny jauh berkelas di banding Iphong gitu2 aja 😂;0;exclusive ny jauh kelas banding iphong gitu2 aja joy;;;;;;;
bermain 𝐷𝘖𝘙𝘼 7𝟽 membuka jalan ; penjual bakso bos restoran .;1;main dora buka jalan jual bakso bos restoran;;;;;;
NGARANG KAMU😡;0;ngarang kamu rage;;;;;;;
Itu udah dijawab bos; coba liat dgn serius;0;udah jawab bos coba liat dgn serius;;;;;;
1:00:15 heh yg ditanyain itu ttg transparansinya; bukan kontennya;0;heh yg ditanyain ttg transparansi bukan konten;;;;;;
Pengalaman saya di p͟͟u͟͟l͟͟a͟͟u͟͟777 selalu menyenangkan.;1;alam pulau777 selalu senang;;;;;;;
Makasih mandalika77 withdraw dah landing secepat kilat gacirnya bukan kaleng kaleng;1;makasih mandalika77 withdraw dah landing cepat kilat gacirnya bukan kaleng kaleng;;;;;;;
Smoga bs punya;0;smoga bs punya;;;;;;;
Terinspirasi setiap hari di M𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳;1;inspirasi hari mandalika77;;;;;;;
Kemenangan 𝘐𝙎𝐎𝘛𝑂𝘛𝙊pasti dibayar lunas; gak pake drama!;1;menang isototopasti bayar lunas gak pake drama;;;;;;
Kosong mass😅..ngga ada bobot;0;kosong mass sweat smile ngga bobot;;;;;;;
sih 𝘼𝙇𝙀𝙓𝙄𝙎17 trending gitu ? asli ?;1;sih alexis17 trending gitu asli;;;;;;;
Nyobain barang aneh eps 34 kapan dih bang?;0;nyobain barang aneh eps kapan dih bang;;;;;;;
Emng knpa y ? Tpi skil obel juga bagus si;0;emng knpa y tpi skil obel bagus si;;;;;;;
𝐀G𝘜𝘚TO𝘛𝘖 aku gak boong; dsini hoki mulu;1;agustoto aku gak boong dsini hoki mulu;;;;;;
terserah gw lah ; mnurut gw aneh ? dsar manusia manusia bg;0;serah gw lah mnurut gw aneh dsar manusia manusia bg;;;;;;
Salut bang keren kontennya ; salam Jepe DI ⭐𝐒𝐆𝐈𝟖𝟖;1;salut bang keren konten salam jepe star sgi88;;;;;;
9:11 bang jam segitu menang w 𝐒𝐆𝐈𝟖𝟖;1;bang jam segitu menang w sgi88;;;;;;;
stop judi bang;0;stop judi bang;;;;;;;
Terus berkembang arhan semangattt!!!!! Salam 𝗪𝗘𝗧𝗢𝗡𝟴𝟴! gampang Jepe;1;terus kembang arhan semangattt salam weton88 gampang jepe;;;;;;;
ngeh kalo 𝘼𝙇𝙀𝙓𝙄𝙎17 sekeren .;1;ngeh kalo alexis17 keren;;;;;;;
Wakkaka si perusak mobil kan?😂;0;wakkaka si usak mobil kan joy;;;;;;;
Emang gak ada duanya sih sensasi main di ALEXIS⭐17⭐.;1;emang gak dua sih sensasi main alexis star star;;;;;;;
Di jual nga;0;jual nga;;;;;;;
𝐷 𝐎 𝑅 а 𝟽 𝟩menawarkan pendekatan berbeda keterlibatan daring .;1;dora7 7menawarkan dekat beda libat daring;;;;;;;
like dulu aja. mudah2an bisa beli Iphone 16 promax;0;like dulu aja mudah2an beli iphone promax;;;;;;;
gue sih percaya aja alexis17 ; gak ngecewain .;1;gue sih percaya aja alexis17 gak ngecewain;;;;;;
gini nyantai main 𝐏 𝐋 𝐔 𝐓 𝐎 𝟖 𝟖 dikasih maxwin;1;gin nyantai main pluto88 kasih maxwin;;;;;;;
LCD nya semahal apa coba 😅;0;lcd nya mahal apa coba sweat smile;;;;;;;
Kasian rakyat Indonesia punya wapres kyk gini 😅;0;kasi rakyat indonesia punya wapres kyk gin sweat smile;;;;;;;
gue rela ninggalin nonton drakor fokus alexis17 .;1;gue rela ninggalin nonton drakor fokus alexis17;;;;;;;
bermain teman-teman 𝗦𝗚𝗜𝟴𝟴 seru asyik ; rezekinya !;1;main teman teman sgi88 seru asyik rezeki;;;;;;
Ngeri bang GK bisa lepas😂😂;0;ngeri bang gk lepas joy joy;;;;;;;
Pengen tertawa tp tak tahan. Takut;0;ken tertawa tp tak tahan takut;;;;;;;
D Е 𝙒 𝐀 𝘋 𝘖 𝘙 A emang bener-bener gachor;1;dewadora emang bener bener gachor;;;;;;;
Prabowo tu negarawan sejati brow❤❤❤;0;prabowo tu negarawan sejati brow heart heart heart;;;;;;;
layak dapat like tertinggiii;0;layak like tertinggiii;;;;;;;
​ @ilhamantariksa2223 coba jelasin semuanya pinter poin yang pa yg di pngin prabowo😂;0;ilhamantariksa2223 coba jelasin semua pinter poin pa yg pngin prabowo joy;;;;;;;
Dari mana duitnya;0;mana duit;;;;;;;
kalo alexis17 kuliah online ; ngapain ?;1;kalo alexis17 kuliah online ngapain;;;;;;
12:35 gua ga fokus sama 86 nya sumpah;0;gua ga fokus sama nya sumpah;;;;;;;
mekswin tiap maen di 𝘋𝐄𝘞𝐀𝐃O𝐑𝘈;1;mekswin tiap maen dewadora;;;;;;;
nih pulauwin kayaknya udah hidup orang-orang deh .;1;nih pulauwin kayak udah hidup orang orang deh;;;;;;;
Aku di kasih kemenangan diluar prediksi; ku kira rungkat ternyata malah dikasih menang di s1tus mandalika77..;1;aku kasih menang luar prediksi ku kira rungkat nyata malah kasih menang s1tus mandalika77;;;;;;
Auuuuuuuuuu 😂;0;auuuuuuuuuu joy;;;;;;;
Cara daftarx mandalika77 gmn bos;1;cara daftarx mandalika77 gmn bos;;;;;;;
sering liat mobil ini di prindavan kebut kebutan;0;sering liat mobil prindavan kebut kebut;;;;;;;
Orang;; penasaran aja yg beli ini.. Hp;0;orang penasaran aja yg beli hp;;;;;
1:00:46 siapa gess wkwkw;0;siapa gess wkwkw;;;;;;;
Anjer 5 langkah kalah wkwkwk;0;anjer langkah kalah wkwkwk;;;;;;;
situs kasih sketer;1;situs kasih sketer;;;;;;;
Setuju nih modif motor;0;tuju nih modif motor;;;;;;;
dijamin bakal lebih ngaco lagi;0;jamin bakal lebih ngaco;;;;;;;
gak nyesel gabung alexis17 .;1;gak nyesel gabung alexis17;;;;;;;
10:12 ─═𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵 ═─ emang juara; rezeki gak ada abisnya!;1;berkah99 emang juara rezeki gak abis;;;;;;
​ @Riko_Syahputra96 tp merdu si bang;0;riko syahputra96 tp merdu si bang;;;;;;;
SUPER MANTAP SITUS  mandalika77 GAMPANG MENANGNYA;1;super mantap situs mandalika77 gampang menang;;;;;;;
@ahmadjuli8783  kalo bisa bikin video se hebat GARASI DRIFT baru bilang biasa aja;0;ahmadjuli8783 kalo bikin video se hebat garasi drift baru bilang biasa aja;;;;;;;
Ngak punya kapasitas .;0;ngak punya kapasitas;;;;;;;
Buset ini serius skketer zeus di ⭐𝘼𝙇𝙀𝙓𝙄𝙎17 dapat 5???.;1;buset serius skketer zeus star alexis17;;;;;;;
salah satu episode skakmat terbaik!;0;salah satu episode skakmat baik;;;;;;;
jepey gmpng banget 𝐒 𝙂ｉ𝟖 𝟖;1;jepey gmpng banget s gi8;;;;;;;
Semua jawaban ngawur; meleset semua;0;semua jawab ngawur meleset semua;;;;;;
Kan emang lgi di setting ksna sm PDIP;0;kan emang lgi setting ksna sm pdip;;;;;;;
Malu memang harus jadi budaya bangsa;0;malu memang jadi budaya bangsa;;;;;;;
nambah 1 lagi;0;nambah;;;;;;;
Orang mancing bang;0;orang mancing bang;;;;;;;
anak abah pedes2 ngomong nya;0;anak abah pedes2 ngomong nya;;;;;;;
alexis17 gk kalah hki trus maen;1;alexis17 gk kalah hki trus maen;;;;;;;
BICARA DEMOGRAFI '!;;;;;;;;;
edan ; 𝘼𝙇𝙀𝙓𝙄𝙎17 ? oh ; viral ? pokoknya .;1;edan alexis17 viral pokok;;;;;
@eflfive7329  lagi ngomongin FAKTA aja sih;0;eflfive7329 ngomongin fakta aja sih;;;;;;;
Dislikenya disembunyikan;0;dislikenya sembunyi;;;;;;;
rear item itu diffuser; wing; atau apa?;0;rear item diffuser wing apa;;;;;
Titipan bapak;0;titip bapak;;;;;;;
Nice banget bang;0;nice banget bang;;;;;;;
bensin nya 1 banding 1 kaki bang;0;bensin nya banding kaki bang;;;;;;;
ane master ngecuan 𝔹О𝐖Ø𝟕𝟳 astagaa masih;1;ane master ngecuan bowo77 astagaa;;;;;;;
Kagak usah panjang komennya si fufufafa kagak bakal nyambung;0;kagak usah panjang komennya si fufufafa kagak bakal nyambung;;;;;;;
Gua lebih suka selain Jawa yang memimpin;0;gua lebih suka jawa pimpin;;;;;;;
Ok siapin mental pak; buat nyusul kayak mertua & presiden korsel;0;siapin mental pak buat nyusul kayak mertua presiden korsel;;;;;;
LUCU BANGET 😂😂;0;lucu banget joy joy;;;;;;;
Ternyata espro d bandung produksinya;0;nyata espro d bandung produksi;;;;;;;
Udah lama ngga garage vlog;0;udah lama ngga garage vlog;;;;;;;
tolong pin salah satu komentar 😊;0;pin salah satu komentar blush;;;;;;;
bang buat perang makanan lagi dong bareng pandu winoto;0;bang buat perang makan dong bareng pandu winoto;;;;;;;
D𝑂𝑅𝐴𝟩𝟽 gua cuma maen iseng; eh malah jadi jepe;1;dora77 gua cuma maen iseng eh malah jadi jepe;;;;;;
keren . gas mari kak 𝐒𝐆𝐈𝟖𝟖;1;keren gas kak sgi88;;;;;;;
