video_id,title,channel_name,tanggal,author,message,label,komentar_clean,predicted_label
rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,ArtificersCcampos-w4m,menang ! 𝑺𝑼𝑯𝑼𝟑𝟐𝟖 bikin hidup !,1,menang ! 𝑺𝑼𝑯𝑼𝟑𝟐𝟖 bikin hidup !,1
n_mFKYFMtWY,"UBUR-UBUR IKAN LELE, INI SAYA JUAL LE !!! Ready Tiga Sasis + Body SR3 Siap Naik Livery.",Bus Pesona,173.986.505.745.564,larchy1324,Pesona ya laksana. Beli jb5 cuma nuruti mania yg koar2 di sosmed,0,pesona ya laksana . beli jb5 nuruti mania yg koar2 sosmed,0
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.405.027.691.400,Fajarelxem,"Baru jepe 2 kali, wede lancar banget",1,"baru jepe 2 kali , wede lancar banget",1
Ou0UedfyuqU,"Kalau mau beli TV, saya bakal PILIH YANG BEGINI.",GadgetIn,2025-04-24 09:24:38+00:00,KristalAryanto,"makswin brusan gates , gg banget",1,"makswin brusan gates , gg banget",1
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,174.525.119.018.419,RudiFirmansyah-k3p,Seru abis! Rasanya gak lengkap sehari tanpa 🔥⚡ALEXIS17⚡?🔥,1,seru abis ! rasanya gak lengkap sehari tanpa alexis17 ?,1
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.599.679.364.740,alexanderHussain-x6e,"𝘈𝐻𝘔𝐀𝐷𝘛𝘖𝑇𝑂 bikin lupa masalah, hiburan yang hakiki!",1,"𝘈𝐻𝘔𝐀𝐷𝘛𝘖𝑇𝑂 bikin lupa , hiburan hakiki !",1
Ou0UedfyuqU,"Kalau mau beli TV, saya bakal PILIH YANG BEGINI.",GadgetIn,2025-04-24 09:24:38+00:00,LestariSubagio-l7p,emang gak se-terpercaya alexis17 sih .,1,emang gak se-terpercaya alexis17 sih .,1
gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,AndiSari-v2z,gak pakai proses nya langsung wd,1,gak pakai proses nya langsung wd,1
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,AlidKc7z,"sungguh ! 𝘿 о r 𝘈 𝟩 7 ketagihan berat , sulit berhenti !",1,"sungguh ! 𝘿 о r 𝘈 𝟩 7 ketagihan berat , sulit berhenti !",1
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.533.698.810,ALIFRMDN,Semangat garasi drift semoga cepat 3 jt,0,semangat garasi drift semoga cepat 3 jt,0
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.556.107.430,himeey-m2w,Kebanyakan kata LUMAYAN,0,kebanyakan lumayan,0
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.744.991.981.235.820,reinandaufar2644,aceh donggg,0,aceh donggg,0
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.394.243.922.540,genz777,Buset 24 menit udah kalah aja mas Panji 🤣,0,buset 24 menit udah kalah aja mas panji,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.361.751.870,dinikurniaginasari,Astagfirullahaladzim 😢😢,0,astagfirullahaladzim,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.323.623.560,MICHEALKlinger,"Bangun tidur ku terus ngeslt, emang paten kali  mandalika77 nih belum apa2 udah maxwin dia, kirain cuma dalam mimpi doang bisa dapat maxwin.",1,"bangun tidur ku ngeslt , emang paten kali mandalika77 nih apa2 udah maxwin , kirain mimpi doang maxwin .",1
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.599.659.634.260,Sambirotoooo,VELG NYA CAKEPPPPP🤤,0,velg nya cakeppppp,0
XI8K0-_kbHc,GAK NYANGKA BISA BEGINI! PENGENDARA DIJALAN SAMPAI BINGUNG LIHAT HUMMER EV | GLAMOUR AUTO BOUTIQUE,Jejelogy,1.739.774.297.658.310,pasarinternet1,Truck ev blm ada ya,0,truck ev blm ya,0
5MBwJpU-9tg,"Rifat Sungkar Mau Bikin Sirkuit⁉️ | Dipo, Ziko Belajar Dari Suhu Motorsports",Garasi Drift Podcast,2025-04-30 09:00:07+00:00,MyrticeAndree,dikasi jp pas modal haha makasi𝐏 𝐋 𝐔 𝐓 𝐎 𝟖 𝟖,1,dikasi jp pas modal haha makasi𝐏 𝐋 𝐔 𝐓 𝐎 𝟖 𝟖,1
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.397.980.661.100,tubagusalmatz4412,"Baru tau,tapi Barusan gue ikutan dislike 😂",0,"baru tau , tapi barusan gue ikutan dislike",0
aA9G2sW212g,PEVS 2025 banyak kejutan,Om Mobi,2025-04-30 11:15:00+00:00,Nasrudinqgnn,cobain langsung ketagihan puas,1,cobain langsung ketagihan puas,1
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.745.337.584.812.940,JulieNunez-u4d,kebanggaan gua nih kalau di tongkrongan! ⭐ A L E X I S 1 7 ⭐Top markotop,1,kebanggaan gua nih kalau di tongkrongan ! a l e x i s 1 7 top markotop,1
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.354.258.950,luqmanf,"Ga tau mau komen apa, yg jelas ga ada bobot nya",0,"ga tau mau komen apa , yg jelas ga ada bobot nya",0
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.394.237.261.350,aninditapurwiranugraha8785,"kocak banget lu Nji, wkwkwkwkwk",0,"kocak banget lu nji , wkwkwkwkwk",0
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.745.251.191.636.280,FikriLestari-z9s,Fix gak nyesel! Bangga banget jadi bagian dari 🔥⚡ALEXIS17⚡?🔥,1,fix gak nyesel ! bangga banget jadi bagian dari alexis17 ?,1
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,RaniPratama-g3u,"sis , ngeh kalo 𝘼𝙇𝙀𝙓𝙄𝙎17 sekeren . gila .",1,"sis , ngeh kalo 𝘼𝙇𝙀𝙓𝙄𝙎17 sekeren . gila .",1
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.348.305.160,ganzrock,"Nonton SILA dulu, baru saya kesini 😅",0,"nonton sila dulu , baru saya kesini",0
Ou0UedfyuqU,"Kalau mau beli TV, saya bakal PILIH YANG BEGINI.",GadgetIn,2025-04-24 09:24:38+00:00,zaqkamuhammad377,"buset tv segede gitu , main pes gawang gawang keliatan kalih",1,"buset tv segede gitu , main pes gawang gawang keliatan kalih",1
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.337.026.485.120,mianufusofficial,"Bang ,coba riview HP Blackview",0,"bang , coba riview hp blackview",0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.473.513.084.970,kduty236,Mas Amba kyny lebih tau realita di lapangan,0,mas amba kyny lebih tau realita di lapangan,0
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.161.030.700,werangsoui1316,Salfok di booth airbft 🤣,0,salfok booth airbft,0
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.409.047.832.840,worldtvprogram,Ada namanya parts namanya flexibel gampang rusak,0,ada namanya parts namanya flexibel gampang rusak,0
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,174.540.863.927.445,HendraSari-y7d,Semua orang bilang ALEXIS⭐17⭐ tuh blessing banget!,1,semua orang bilang alexis17 tuh blessing banget !,1
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.387.004.220.640,nicebagusmurah8047,Udah cukup 😂,0,udah cukup,0
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.412.202.812.820,rennindritha,Iya lagi!! Lucu banget 😂😂😂😂,0,iya lagi ! ! lucu banget,0
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,174.542.170.585.217,alifakbar45,Ishowspeed pernah review juga,0,ishowspeed pernah review juga,0
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.405.185.425.120,rifckyfirmansyah,Nganggur pres wapres,0,nganggur pres wapres,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.877.190,dhinaevalina902,"Belum beli aja, uda seneng banget..
Gimana klo uda munyain..",0,"beli aja , uda seneng banget .. gimana klo uda munyain ..",0
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,Adityajarrett-i3j,keren . gas mari kak weton88,1,keren . gas mari kak weton88,1
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.163.311.610,japrakofficial7535,"Namanya aja the elite, emg elite. Gaada yg norak kek pasar malem",0,"namanya aja the elite , emg elite . gaada yg norak kek pasar malem",0
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,AnnGarcia-v3i,main alexis17 suaranya,1,main alexis17 suaranya,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,173.994.633.293.145,Petrovnurhayati-i5f,"Berkah rezeki hari ini berkat 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓,puji syukur!",1,"berkah rezeki berkat 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓 , puji syukur !",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.978.736.959.360,EsenEvre,nice link bagus mandalika77,1,nice link bagus mandalika77,1
ycGdOc17FhA,"CITY HATCHBACK NAIK SPEK, MENGEJUTKAN DI MANDALIKA",Fitra Eri,2025-04-26 06:01:01+00:00,MosherDrew-j2v,"min video lu baguss , pilih 𝐒𝐆𝐈𝟖𝟖",1,"min video lu baguss , pilih 𝐒𝐆𝐈𝟖𝟖",1
ycGdOc17FhA,"CITY HATCHBACK NAIK SPEK, MENGEJUTKAN DI MANDALIKA",Fitra Eri,2025-04-26 06:01:01+00:00,iswahyudijumadi,capek bgt nemuin alexis17 trs,1,capek bgt nemuin alexis17 trs,1
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.401.405.037.320,willyokta9882,tirta cipeng ahok gas,0,tirta cipeng ahok gas,0
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.599.667.667.860,adywibowowibowo1935,Ampe merinding cuyy,0,ampe merinding cuyy,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.325.688.920,rfach7401,​ manusia__biasa 😂😂😂😂 emang yang lain nggak,0,​ manusia__biasa emang yang lain nggak,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.982.330.026.990,ipayjkt6630,Setuju bngt..,0,setuju bngt ..,0
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,JosephMyers-h4b,emang ya alexis17 gampang menang,1,emang ya alexis17 gampang menang,1
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.365.892.850,kelasinspiratif1996,JOKOWI mulu disebut,0,jokowi mulu disebut,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.338.119.410,itshydra9020,bobroknya bawahan sama pemimpin dikupas tuntas,0,bobroknya bawahan sama pemimpin dikupas tuntas,0
rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,hermawanridwan-n5q,gue rela gak tidur ngikutin update terbaru alexis17 .,1,gue rela gak tidur ngikutin update terbaru alexis17 .,1
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.170.431.600,AysenMuhammet,"★Mandalika77★ mekswin, depoin LIMPUL",1,"★mandalika77★ mekswin , depoin limpul",1
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.531.838.690,JNYXX,Who hurt you sweetie ❤,0,who hurt you sweetie,0
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,JokoHermawan-g4g,"cuy , serius nanya , 𝘼𝙇𝙀𝙓𝙄𝙎17 beneran sebagus ?",1,"cuy , serius nanya , 𝘼𝙇𝙀𝙓𝙄𝙎17 beneran sebagus ?",1
kUom1fDXs4A,MOBIL-MOBIL PALING KAMI SUKA DI IIMS 2025 | FEAT. OM MOBI,Fitra Eri,1.739.947.017.916.310,RasyidKartinah-ld2he,Kalo mazda paling suka cx 60,0,kalo mazda suka cx 60,0
hEGVZ5y4oGI,Kenapa Honda Brio Bisa Laku ?? | Apa Cuman Karena Murah ??,FUSE BOX,1.745.482.407.601.410,reezaashari09,"""Kecuali dari Mazda""",0,`` kecuali dari mazda '',0
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,GeraldJackson-b1k,alexis17 superrrrrr bosku gac0r melayang,1,alexis17 superrrrrr bosku gac0r melayang,1
J2_Egvu2QII,"GAK SAMPAI 600JT, DAPET MOBIL PHEV: JAECOO J7",Ridwan Hanif,1.740.046.319.436.060,pipinjangkung9074,Journeynya belum ada video baru mas Ridwan?,0,journeynya video mas ridwan ?,0
Ou0UedfyuqU,"Kalau mau beli TV, saya bakal PILIH YANG BEGINI.",GadgetIn,2025-04-24 09:24:38+00:00,SeifertMarin-e9d,jepey gmpng banget 𝐒𝐆𝐈𝟖𝟖,1,jepey gmpng banget 𝐒𝐆𝐈𝟖𝟖,1
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.532.584.500,mohammadhafizhbagaskara8773,Wkwk sama bg​ @linggarprasetyo9804 ,0,wkwk bg​,0
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,AndiYuliani-o7h,"cuy , 𝘼𝙇𝙀𝙓𝙄𝙎17 , lo coba !",1,"cuy , 𝘼𝙇𝙀𝙓𝙄𝙎17 , lo coba !",1
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.292.847.380,soegengsinau636,Nggambleh Thok .isone mung omong apik2 wae. Payahhhhh,0,nggambleh thok .isone mung omong apik2 wae . payahhhhh,0
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,fabianismail-w6s,"rezeki alexis17 , makasih keberuntungannya !",1,"rezeki alexis17 , makasih keberuntungannya !",1
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.599.665.185.830,arizkiakkd1910,Up trending,0,up trending,0
rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,Anggap99a,"ngga ribet , gampang banget dapet tambahan",1,"ngga ribet , gampang banget dapet tambahan",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.333.712.400,ASTREA_GRAND475,Pt apa ini bang?,0,pt bang ?,0
aA9G2sW212g,PEVS 2025 banyak kejutan,Om Mobi,2025-04-30 11:15:00+00:00,KezibanEsin,main bareng temen p͓̽u͓̽l͓̽a͓̽u͓̽w͓̽i͓̽n͓̽ emang seru .,1,main bareng temen p͓̽u͓̽l͓̽a͓̽u͓̽w͓̽i͓̽n͓̽ emang seru .,1
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.819.143.459.760,campoengalieng7856,Yang penting Jadi Presiden 🎉,0,yang penting jadi presiden,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.275.243.010,vaniarifandasopyan_B_ooo,"Mantap bang, saya jadi lebih paham ☝🏻",0,"mantap bang , saya jadi lebih paham",0
ycGdOc17FhA,"CITY HATCHBACK NAIK SPEK, MENGEJUTKAN DI MANDALIKA",Fitra Eri,2025-04-26 06:01:01+00:00,ranggaagustian-x5z,emang gak se-asik alexis17 sih .,1,emang gak se-asik alexis17 sih .,1
ycGdOc17FhA,"CITY HATCHBACK NAIK SPEK, MENGEJUTKAN DI MANDALIKA",Fitra Eri,2025-04-26 06:01:01+00:00,GonzalezMullins-b1o,𝐒𝐆𝐈𝟖𝟖 bikin ketagihan !,1,𝐒𝐆𝐈𝟖𝟖 bikin ketagihan !,1
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,174.525.118.633.345,BudiSari-f6n,Fix gak nyesel! Setia banget sama ⚡ALEXIS17⚡ sejak awal!,1,fix gak nyesel ! setia banget sama alexis17 sejak awal !,1
ycGdOc17FhA,"CITY HATCHBACK NAIK SPEK, MENGEJUTKAN DI MANDALIKA",Fitra Eri,2025-04-26 06:01:01+00:00,JairCesar-o1b,tunggu tunggu salam jepe 𝐒𝐆𝐈𝟖𝟖,1,tunggu tunggu salam jepe 𝐒𝐆𝐈𝟖𝟖,1
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.686.072.866.870,KUN-xf6wv,Gilaaaaaaaaaaa,0,gilaaaaaaaaaaa,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.323.638.200,SerpilYasemin-r9p,"mandalika77 makasi lah uda ngasih, keren pokoknya mandalika77 pasti sesuai pnya isi nya",1,"mandalika77 makasi uda ngasih , keren pokoknya mandalika77 sesuai pnya isi nya",1
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.307.951.600,widiasaleha7156,Sependapat!,0,sependapat !,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.359.410.040,deezz-i2x,Worst president ever?,0,worst president ever ?,0
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.401.559.325.810,FaZcoM,YouTube premium,0,youtube premium,0
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.415.833.217.500,muhammadroufmizani6425,"Ini pemimpin yg sesungguhnya, sehat2 pak ahok",0,"ini pemimpin yg sesungguhnya , sehat2 pak ahok",0
IlkUUwDFCiI,YAMAHA CRYPTON | Begini Rasanya Bila Yamaha Buat Motor Bebek 4 Tak | Motomobi Used Bike,Motomobi,2025-03-21 13:00:27+00:00,Ivanpratamaa1tda,"makasih а𝙀я𝙊𝟾8 , rezeki bikin hati senang banget !",1,"makasih а𝙀я𝙊𝟾8 , rezeki bikin hati senang banget !",1
gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,shemarromeo-e6v,bng coba game zeus x 1000 𝐒𝐆𝐈𝟖𝟖 gampang bet pecah,1,bng coba game zeus x 1000 𝐒𝐆𝐈𝟖𝟖 gampang bet pecah,1
8AzDe6gMOck,BRZ Farrel Siap untuk Indonesian Drift Series‼️,Garasi Drift,2025-05-02 09:00:09+00:00,masb0ymas,"jujur , cakep bener livery nya , berasa tamiya rame cakep",0,"jujur , cakep bener livery nya , berasa tamiya rame cakep",0
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.337.019.195.790,ariskurniawan6506,"Kirin nya gila, anti panas..... Cuma anget anget doang ..",0,"kirin nya gila , anti panas ..... cuma anget anget doang ..",0
